Shipment_ID,Origin,Destination,Distance_Miles,Weight_Lbs,Transport_Mode,Carrier,Lead_Time_Days,Fuel_Surcharge_Rate,Is_Urgent,Actual_Price_USD
SHP100169,Houston,Los Angeles,2321.0,11575.0,Air Freight,DHL Express,4,0.18,1,10616.09
SHP100170,Houston,Chicago,1941.0,7500.0,LTL,FedEx,12,0.28,0,3526.18
SHP100171,Houston,Miami,1554.0,11139.0,LTL,FedEx,3,0.37,0,3339.65
SHP100172,Miami,Atlanta,1682.0,11145.0,Air Freight,FedEx,4,0.43,0,7808.84
SHP100173,Miami,New York,-999.0,8470.0,LTL,USPS,3,0.33,0,3483.03
SHP100174,Los Angeles,Atlanta,2338.0,4009.0,LTL,USPS,2,0.41,0,4008.98
SHP100175,New York,Chicago,1966.0,14665.0,LTL,FedEx,5,0.4,1,4585.39
SHP100176,Houston,Chicago,1845.0,10135.0,Air Freight,UPS,2,0.2,0,7943.66
SHP100177,Chicago,Houston,1966.0,1363.0,LTL,FedEx,6,0.3,0,3155.01
SHP100178,Miami,Atlanta,1711.0,7897.0,Truckload,UPS,3,0.19,0,4584.33
SHP100179,Chicago,New York,1954.0,1120.0,Truckload,UPS,6,0.35,0,4354.69
SHP100180,Chicago,Miami,1728.0,9216.0,LTL,USPS,11,0.43,1,3757.29
SHP100181,Chicago,New York,1852.0,,Truckload,UPS,10,0.19,0,5106.84
SHP100182,Los Angeles,New York,2375.0,3335.0,LTL,FedEx,9,0.37,1,4289.94
SHP100183,Miami,Houston,1544.0,8999.0,LTL,USPS,1,0.34,0,3184.46
SHP100184,Chicago,New York,1924.0,3145.0,Truckload,DHL Express,6,0.33,0,4503.09
SHP100185,Houston,Miami,1705.0,370.0,Air Freight,DHL Express,9,0.27,1,6622.01
SHP100186,Atlanta,New York,2063.0,2371.0,Truckload,USPS,11,0.26,0,4660.12
SHP100187,Chicago,New York,2041.0,605.0,Truckload,FedEx,4,0.16,1,4891.68
SHP100188,Los Angeles,Houston,2445.0,4989.0,LTL,DHL Express,11,0.22,0,4109.42
SHP100189,Miami,Houston,1534.0,5482.0,LTL,DHL Express,12,0.15,0,2803.56
SHP100190,Los Angeles,Chicago,2363.0,1436.0,LTL,UPS,2,0.32,1,4164.55
SHP100191,Chicago,Los Angeles,2286.0,4813.0,LTL,UPS,13,0.18,0,3877.23
SHP100192,Miami,Los Angeles,2162.0,11289.0,LTL,FedEx,4,0.41,1,4569.16
SHP100193,Atlanta,New York,1873.0,10669.0,LTL,USPS,1,0.31,1,4163.28
SHP100194,Chicago,Los Angeles,2411.0,6904.0,LTL,FedEx,3,0.36,0,4212.48
SHP100195,Los Angeles,Houston,2244.0,14280.0,LTL,USPS,10,0.27,0,4581.52
SHP100196,New York,Los Angeles,2353.0,10246.0,Truckload,DHL Express,9,0.32,0,6137.49
SHP100197,Houston,Los Angeles,2237.0,10172.0,Air Freight,UPS,10,0.43,0,9289.46
SHP100198,Los Angeles,Chicago,2437.0,7687.0,LTL,FedEx,5,0.17,0,4320.21
SHP100199,Miami,Los Angeles,2177.0,4891.0,Air Freight,FedEx,11,0.23,0,7995.29
SHP100200,Chicago,Houston,1961.0,13012.0,Air Freight,USPS,6,0.38,0,8898.11
SHP100201,Houston,Atlanta,1745.0,10405.0,LTL,USPS,3,0.18,0,3525.66
SHP100202,Chicago,Houston,1788.0,14990.0,Truckload,FedEx,5,0.17,1,6024.83
SHP100203,Miami,Los Angeles,2178.0,13403.0,Truckload,USPS,11,0.26,1,6601.66
SHP100204,Chicago,New York,2092.0,3917.0,Truckload,FedEx,8,0.18,0,4818.79
SHP100205,New York,Atlanta,2031.0,10668.0,LTL,FedEx,6,0.33,0,3947.58
SHP100206,Houston,Miami,1696.0,3843.0,Truckload,FedEx,4,0.22,1,4624.5
SHP100207,Houston,Chicago,1873.0,7423.0,LTL,DHL Express,2,0.42,0,3559.87
SHP100208,Miami,Chicago,1504.0,2563.0,Truckload,USPS,9,0.39,0,3595.65
SHP100209,New York,Miami,1858.0,3853.0,Truckload,UPS,13,0.36,1,4965.13
SHP100210,Los Angeles,Houston,2435.0,2377.0,Truckload,UPS,12,0.34,0,5448.36
SHP100211,Chicago,Los Angeles,2220.0,,Truckload,USPS,1,0.41,0,5782.97
SHP100212,Atlanta,Houston,1922.0,2215.0,Truckload,FedEx,1,0.22,1,4891.72
SHP100213,Chicago,Los Angeles,2288.0,3358.0,LTL,UPS,13,0.41,1,4040.11
SHP100214,Chicago,Miami,1707.0,6502.0,LTL,UPS,4,0.39,0,3198.44
SHP100215,Los Angeles,Chicago,2324.0,8117.0,Air Freight,USPS,7,0.37,0,9308.0
SHP100216,Chicago,New York,1917.0,7692.0,LTL,UPS,1,0.32,0,3634.85
SHP100217,New York,Atlanta,1892.0,14485.0,LTL,FedEx,9,0.22,0,4114.29
SHP100218,New York,Chicago,1918.0,6454.0,LTL,USPS,4,0.28,0,3469.79
SHP100219,Houston,Chicago,1956.0,1042.0,LTL,FedEx,3,0.39,0,3193.13
SHP100220,Miami,Houston,1630.0,5474.0,Air Freight,UPS,1,0.16,1,7313.83
SHP100221,Atlanta,Houston,1867.0,9619.0,Truckload,UPS,10,0.38,0,5179.96
SHP100222,Chicago,Miami,1564.0,4431.0,Air Freight,FedEx,4,0.22,0,6150.83
SHP100223,Chicago,New York,2059.0,14713.0,Truckload,DHL Express,9,0.19,0,6059.65
SHP100224,Los Angeles,Chicago,2435.0,3224.0,LTL,UPS,13,0.18,0,3976.05
SHP100225,Miami,Atlanta,1592.0,14448.0,LTL,DHL Express,10,0.16,0,3587.54
SHP100226,New York,Houston,1890.0,4832.0,Truckload,UPS,6,0.31,0,4642.51
SHP100227,Atlanta,Los Angeles,2443.0,9547.0,LTL,DHL Express,6,0.22,0,4528.11
SHP100228,Houston,Los Angeles,2387.0,5610.0,Air Freight,DHL Express,1,0.45,0,9112.9
SHP100229,New York,Miami,1824.0,,Air Freight,DHL Express,10,0.32,0,7441.68
SHP100230,Miami,Chicago,1688.0,13075.0,LTL,FedEx,2,0.19,1,4118.04
SHP100231,Houston,Miami,1548.0,3128.0,Air Freight,DHL Express,11,0.36,0,5834.91
SHP100232,Los Angeles,Miami,2008.0,10928.0,Air Freight,DHL Express,6,0.42,0,8784.79
SHP100233,Los Angeles,Houston,2212.0,3033.0,Truckload,DHL Express,2,0.37,1,5671.68
SHP100234,Chicago,Los Angeles,2413.0,7309.0,LTL,UPS,3,0.17,1,4575.19
SHP100235,Miami,Chicago,1496.0,6104.0,LTL,DHL Express,4,0.42,0,2826.17
SHP100236,Atlanta,Los Angeles,2258.0,14232.0,Truckload,UPS,11,0.39,0,6431.34
SHP100237,Houston,New York,-999.0,2573.0,LTL,DHL Express,5,0.2,1,3358.9
SHP100238,New York,Los Angeles,2490.0,11824.0,LTL,DHL Express,9,0.17,1,5032.46
SHP100239,Miami,Houston,1590.0,,Truckload,FedEx,12,0.32,0,4543.75
SHP100240,Miami,Chicago,1665.0,10342.0,LTL,UPS,4,0.2,0,3399.46
SHP100241,Los Angeles,New York,2408.0,4631.0,Truckload,DHL Express,13,0.4,0,5568.46
SHP100242,Chicago,Houston,1731.0,,Air Freight,UPS,11,0.26,0,8021.46
SHP100243,Chicago,Atlanta,1962.0,5659.0,Air Freight,UPS,9,0.42,0,7675.22
SHP100244,Houston,Chicago,1856.0,2051.0,LTL,USPS,11,0.32,0,3078.68
SHP100245,Los Angeles,Miami,2168.0,1437.0,Air Freight,FedEx,10,0.2,1,8235.13
SHP100246,Miami,Los Angeles,2129.0,11425.0,LTL,FedEx,3,0.19,0,4134.45
SHP100247,Atlanta,New York,-999.0,6602.0,LTL,FedEx,8,0.32,0,3586.72
SHP100248,Los Angeles,New York,2349.0,1080.0,Truckload,USPS,12,0.38,0,5112.12
SHP100249,Houston,Los Angeles,2451.0,10007.0,LTL,USPS,1,0.38,0,4522.51
SHP100250,Houston,New York,1966.0,13005.0,LTL,FedEx,11,0.23,0,4098.24
SHP100251,Los Angeles,Atlanta,-999.0,1270.0,Truckload,USPS,9,0.21,0,5137.23
SHP100252,Houston,Chicago,1761.0,13172.0,LTL,USPS,9,0.16,0,3661.4
SHP100253,Los Angeles,Atlanta,2237.0,13213.0,LTL,USPS,10,0.35,0,4530.46
SHP100254,New York,Los Angeles,2406.0,12048.0,LTL,FedEx,2,0.17,1,4953.85
SHP100255,Los Angeles,Miami,1970.0,10656.0,Truckload,FedEx,4,0.28,0,5425.62
SHP100256,Los Angeles,Chicago,2397.0,13339.0,Truckload,FedEx,13,0.33,0,6491.84
SHP100257,Houston,Chicago,1785.0,12587.0,LTL,USPS,8,0.43,1,4219.55
SHP100258,Houston,Los Angeles,2244.0,6085.0,LTL,FedEx,7,0.24,0,3845.57
SHP100259,Chicago,Houston,1841.0,9860.0,LTL,USPS,1,0.22,0,3649.88
SHP100260,Chicago,Miami,1519.0,9505.0,LTL,DHL Express,5,0.35,1,3549.02
SHP100261,New York,Chicago,1903.0,6573.0,Truckload,USPS,7,0.34,0,4874.44
SHP100262,Chicago,Miami,1525.0,8124.0,LTL,UPS,4,0.25,0,3038.49
SHP100263,Los Angeles,Houston,2458.0,9113.0,LTL,FedEx,1,0.43,0,4447.57
SHP100264,Houston,Los Angeles,2392.0,884.0,Truckload,FedEx,9,0.4,1,5667.33
SHP100265,Chicago,New York,2066.0,11064.0,Truckload,UPS,5,0.22,0,5678.2
SHP100266,Chicago,Atlanta,1809.0,9160.0,Truckload,USPS,11,0.22,0,4857.37
SHP100267,New York,Los Angeles,2387.0,1774.0,LTL,DHL Express,2,0.3,0,3812.22
SHP100268,Miami,Los Angeles,2052.0,6648.0,LTL,UPS,8,0.38,0,3723.92
SHP100269,New York,Houston,1914.0,2463.0,LTL,UPS,11,0.16,0,3142.65
SHP100270,Los Angeles,Atlanta,2278.0,9555.0,LTL,USPS,13,0.36,0,4169.32
SHP100271,Houston,Atlanta,1857.0,6043.0,Truckload,FedEx,2,0.34,0,4836.58
SHP100272,New York,Miami,1660.0,4548.0,Air Freight,USPS,3,0.22,0,6524.18
SHP100273,Chicago,Miami,1511.0,,Truckload,UPS,10,0.35,0,3546.61
SHP100274,Houston,New York,2065.0,2618.0,Truckload,UPS,1,0.43,0,4857.6
SHP100275,Houston,New York,1956.0,13665.0,LTL,FedEx,11,0.16,1,4512.84
SHP100276,Chicago,New York,1958.0,9380.0,Truckload,FedEx,2,0.25,0,5226.56
SHP100277,New York,Miami,1725.0,259.0,LTL,FedEx,7,0.28,1,3032.83
SHP100278,Chicago,Houston,1830.0,9306.0,Truckload,USPS,10,0.42,1,5397.74
SHP100279,Miami,Atlanta,1670.0,4961.0,LTL,FedEx,2,0.44,0,3055.05
SHP100280,Houston,Los Angeles,2309.0,2270.0,LTL,UPS,6,0.28,0,3722.09
SHP100281,Atlanta,Houston,1893.0,283.0,LTL,UPS,3,0.38,1,3326.73
SHP100282,Atlanta,Miami,1557.0,842.0,Air Freight,DHL Express,4,0.31,0,5507.97
SHP100283,Los Angeles,Atlanta,2245.0,14245.0,LTL,USPS,11,0.31,1,4809.62
SHP100284,Chicago,Los Angeles,2389.0,13951.0,LTL,DHL Express,13,0.23,0,4727.94
SHP100285,Chicago,Los Angeles,2390.0,3160.0,LTL,UPS,8,0.22,0,3937.79
SHP100286,Los Angeles,Chicago,2419.0,,Truckload,DHL Express,3,0.24,0,5388.37
SHP100287,Los Angeles,Miami,2147.0,8576.0,Truckload,UPS,10,0.32,0,5568.32
