Shipment_ID,Origin,Destination,Distance_Miles,Weight_Lbs,Transport_Mode,Carrier,Lead_Time_Days,Fuel_Surcharge_Rate,Is_Urgent,Actual_Price_USD,Predicted_Price_USD
SHP100050,Miami,Atlanta,1555.0,3920.0,Truckload,USPS,3,0.24,0,3780.33,3860.5986999999986
SHP100051,New York,Chicago,2031.0,12770.0,Truckload,USPS,12,0.22,0,5710.86,5695.394999999992
SHP100052,New York,Chicago,2004.0,11809.0,Truckload,USPS,11,0.43,0,5603.5,5595.003799999998
SHP100053,Chicago,New York,2015.0,9240.0,Air Freight,USPS,11,0.43,0,8488.71,8442.805799999993
SHP100054,New York,Houston,1939.0,10389.0,LTL,FedEx,10,0.33,1,4163.93,4100.0269
SHP100055,Atlanta,Los Angeles,2395.0,5135.0,Air Freight,UPS,9,0.43,1,9676.16,9340.409899999997
SHP100056,New York,Chicago,1911.0,12936.0,LTL,UPS,4,0.39,0,4053.43,4007.3250999999977
SHP100057,Houston,Miami,1591.0,7470.0,Air Freight,FedEx,4,0.33,0,6602.86,6718.235799999992
SHP100058,Houston,Atlanta,1903.0,445.0,Truckload,USPS,12,0.15,1,4585.79,4732.731699999994
SHP100059,Houston,Atlanta,1946.0,11840.0,LTL,FedEx,7,0.38,1,4273.27,4257.123299999998
SHP100060,Houston,New York,1988.0,12752.0,LTL,UPS,2,0.36,0,4098.3,4038.1697999999965
SHP100061,Atlanta,Miami,1689.0,988.0,LTL,DHL Express,8,0.33,0,2726.78,2717.124599999999
SHP100062,Los Angeles,Houston,2217.0,9878.0,LTL,FedEx,6,0.38,0,4224.36,4244.548199999993
SHP100063,Miami,Chicago,1586.0,10966.0,LTL,USPS,3,0.3,0,3432.14,3360.2164000000002
SHP100064,Chicago,Los Angeles,2326.0,7470.0,Truckload,UPS,9,0.36,0,5252.6,5513.938599999991
SHP100065,Houston,Atlanta,1928.0,4686.0,Truckload,UPS,5,0.43,0,4747.86,4742.359299999994
SHP100066,New York,Houston,1913.0,1699.0,Truckload,UPS,8,0.26,1,4770.78,4864.659399999999
SHP100067,Houston,Los Angeles,2439.0,3740.0,Air Freight,UPS,7,0.36,1,9628.24,9351.72189999999
SHP100068,New York,Chicago,1870.0,14283.0,Truckload,USPS,8,0.29,0,5650.77,5613.771200000005
SHP100069,Miami,Houston,1689.0,3485.0,Truckload,DHL Express,7,0.35,0,4073.57,4058.353700000003
SHP100070,Miami,Atlanta,1604.0,3251.0,LTL,UPS,3,0.38,0,2715.71,2857.7494000000006
SHP100071,Miami,Los Angeles,2215.0,4229.0,Truckload,FedEx,2,0.16,1,5715.81,5710.772500000001
SHP100072,New York,Chicago,2040.0,12608.0,LTL,DHL Express,7,0.34,0,4166.05,4047.858099999997
SHP100073,Houston,Miami,1574.0,10533.0,Air Freight,UPS,3,0.22,0,7238.06,7356.784600000009
SHP100074,Miami,Houston,1681.0,12725.0,Air Freight,DHL Express,3,0.35,0,7995.19,7955.751599999988
SHP100075,Atlanta,Los Angeles,2457.0,8455.0,Truckload,FedEx,2,0.29,0,6278.28,6073.224800000007
SHP100076,New York,Miami,1629.0,3287.0,LTL,UPS,4,0.38,0,2853.13,2873.8593000000005
SHP100077,New York,Miami,1617.0,3912.0,Air Freight,FedEx,8,0.19,0,6162.03,6221.872900000009
SHP100078,Houston,Miami,1547.0,108.0,Truckload,USPS,12,0.34,0,3322.54,3626.8669999999984
SHP100079,New York,Houston,1935.0,13963.0,LTL,UPS,1,0.23,1,4368.81,4369.495599999998
SHP100080,New York,Houston,1880.0,11172.0,LTL,UPS,1,0.41,1,4255.38,4220.699200000001
SHP100081,Miami,New York,1851.0,4988.0,Truckload,UPS,12,0.43,1,5058.78,5058.452300000008
SHP100082,Houston,Atlanta,1978.0,3021.0,LTL,UPS,5,0.45,0,3300.0,3287.3892000000005
SHP100083,Miami,Chicago,1582.0,9769.0,Air Freight,USPS,11,0.39,0,7169.46,7261.244499999998
SHP100084,Miami,Atlanta,1729.0,14067.0,LTL,UPS,5,0.38,0,3796.76,3778.123300000004
SHP100085,Houston,New York,1858.0,8364.0,LTL,DHL Express,11,0.21,1,3917.76,3897.727500000004
SHP100086,Chicago,New York,1935.0,11961.0,Air Freight,UPS,12,0.25,0,8420.17,8719.601100000002
SHP100087,Miami,New York,1703.0,9678.0,LTL,USPS,1,0.29,0,3425.59,3420.4340000000025
SHP100088,Atlanta,Los Angeles,2363.0,9404.0,Truckload,UPS,6,0.38,0,6096.25,6111.628200000003
SHP100089,Atlanta,Miami,1627.0,11542.0,LTL,DHL Express,1,0.42,0,3393.69,3387.8500000000013
SHP100090,New York,Chicago,1878.0,3395.0,LTL,USPS,5,0.21,0,3095.03,3128.4161000000045
SHP100091,Atlanta,Chicago,1975.0,2536.0,Truckload,USPS,9,0.43,0,4500.41,4560.536199999995
SHP100092,New York,Chicago,1929.0,611.0,Truckload,DHL Express,12,0.36,0,4217.19,4290.131000000002
SHP100093,Chicago,New York,1885.0,4031.0,Truckload,DHL Express,5,0.33,0,4530.74,4586.859399999996
SHP100094,Houston,Chicago,1935.0,6311.0,Truckload,DHL Express,6,0.21,1,5043.48,4989.798999999995
SHP100095,Houston,New York,1958.0,1787.0,Truckload,DHL Express,8,0.17,0,4363.83,4409.169100000003
SHP100096,Houston,Miami,1935.0,9146.0,LTL,DHL Express,11,0.32,0,3243.57,3782.1637999999984
SHP100097,Atlanta,Los Angeles,1935.0,3604.0,LTL,USPS,1,0.35,0,3783.77,3647.726000000002
SHP100098,Chicago,Houston,1815.0,12732.0,Air Freight,USPS,2,0.21,1,9115.6,8976.448899999994
SHP100099,Atlanta,Los Angeles,2280.0,9968.0,Truckload,UPS,9,0.32,0,5975.64,6007.268700000008
SHP100100,Atlanta,Los Angeles,2360.0,11165.0,Truckload,UPS,3,0.41,1,6772.83,6679.583399999999
SHP100101,Chicago,Los Angeles,2378.0,11773.0,LTL,FedEx,6,0.4,0,4630.52,4610.300200000001
SHP100102,Chicago,Atlanta,1961.0,12148.0,LTL,UPS,5,0.43,1,4411.58,4339.629700000001
SHP100103,Chicago,Miami,1582.0,14054.0,Truckload,UPS,11,0.26,1,5440.9,5399.809300000005
SHP100104,Chicago,New York,1929.0,9176.0,Air Freight,DHL Express,2,0.25,0,8152.01,8069.028500000008
SHP100105,Houston,Atlanta,1831.0,13439.0,Truckload,DHL Express,7,0.37,0,5465.94,5486.9233
SHP100106,Los Angeles,Houston,2365.0,7145.0,Air Freight,UPS,4,0.28,0,9109.69,9064.457599999983
SHP100107,Los Angeles,Atlanta,2385.0,13773.0,Truckload,FedEx,1,0.18,0,6652.64,6623.7001
SHP100108,Chicago,Miami,1655.0,8316.0,LTL,DHL Express,13,0.23,0,3183.75,3232.937299999999
SHP100109,Los Angeles,Chicago,2368.0,344.0,LTL,UPS,4,0.28,0,3690.78,3712.1085000000057
SHP100110,Los Angeles,Chicago,2223.0,8262.0,LTL,UPS,6,0.24,0,4002.88,4020.1212999999984
SHP100111,Chicago,Miami,1606.0,11484.0,LTL,USPS,7,0.25,0,3384.56,3377.750499999999
SHP100112,Los Angeles,Miami,2194.0,9280.0,Air Freight,FedEx,7,0.24,0,8922.95,8910.194299999992
SHP100113,Atlanta,Los Angeles,2458.0,5380.0,LTL,USPS,7,0.16,0,4096.31,4138.261499999999
SHP100114,New York,Chicago,1922.0,4705.0,Truckload,FedEx,3,0.34,0,4659.63,4699.843400000002
SHP100115,New York,Atlanta,2098.0,1159.0,LTL,DHL Express,6,0.33,0,3365.64,3369.110800000006
SHP100116,Chicago,Los Angeles,2300.0,13510.0,LTL,FedEx,13,0.35,0,4539.38,4569.522000000003
SHP100117,Houston,New York,2065.0,3821.0,LTL,UPS,8,0.21,0,3457.52,3435.2077999999997
SHP100118,Chicago,Miami,1694.0,8613.0,LTL,UPS,4,0.24,1,3656.21,3635.9051000000036
SHP100119,Houston,Los Angeles,2299.0,6173.0,Truckload,FedEx,13,0.34,0,5515.42,5529.136799999998
SHP100120,New York,Los Angeles,2358.0,7697.0,LTL,FedEx,8,0.33,0,4203.29,4180.967900000001
SHP100121,Chicago,New York,2028.0,13155.0,Truckload,FedEx,2,0.3,0,5897.16,5828.819599999995
SHP100122,Miami,Atlanta,1538.0,1224.0,LTL,USPS,10,0.26,1,2775.67,2735.5933000000023
SHP100123,Atlanta,Houston,1900.0,1214.0,LTL,FedEx,9,0.42,1,3427.53,3371.4998000000032
SHP100124,Los Angeles,Miami,2189.0,9334.0,LTL,DHL Express,9,0.25,1,4387.53,4312.891100000005
SHP100125,Houston,Atlanta,1949.0,9525.0,Truckload,USPS,8,0.29,0,5236.74,5268.385899999997
SHP100126,Miami,Atlanta,1561.0,10253.0,Truckload,USPS,10,0.35,0,4579.05,4720.055299999995
SHP100127,Los Angeles,Miami,2184.0,9087.0,LTL,FedEx,13,0.31,0,4010.91,4053.598399999997
SHP100128,Los Angeles,Miami,1935.0,10233.0,LTL,DHL Express,10,0.25,0,4145.83,4022.9094000000014
SHP100129,Chicago,Atlanta,1862.0,8762.0,Truckload,USPS,1,0.28,1,5518.44,5451.1301
SHP100130,Los Angeles,Atlanta,2251.0,4516.0,LTL,UPS,2,0.39,0,3849.05,3876.650199999996
SHP100131,Atlanta,Miami,1624.0,5588.0,LTL,USPS,6,0.23,0,2860.71,2906.153000000001
SHP100132,Miami,New York,1651.0,12438.0,Air Freight,FedEx,10,0.19,0,7677.04,7748.236500000002
SHP100133,Los Angeles,Houston,2373.0,12998.0,Truckload,DHL Express,5,0.24,1,7032.88,6837.999200000004
SHP100134,Chicago,Houston,1834.0,14019.0,LTL,FedEx,12,0.4,0,3997.49,3931.646599999997
SHP100135,Atlanta,Los Angeles,2236.0,7161.0,Air Freight,UPS,9,0.18,0,8662.4,8717.118600000009
SHP100136,New York,Atlanta,1935.0,8484.0,Truckload,UPS,5,0.45,0,5111.44,5171.717899999998
SHP100137,Miami,Houston,1535.0,2850.0,LTL,UPS,2,0.31,0,2669.01,2808.022900000001
SHP100138,Los Angeles,New York,2395.0,4657.0,Truckload,FedEx,10,0.45,0,5680.63,5698.902700000002
SHP100139,Chicago,Houston,1754.0,11138.0,Truckload,USPS,4,0.43,1,5509.23,5210.127100000001
SHP100140,New York,Houston,1922.0,10844.0,LTL,FedEx,9,0.29,0,3777.55,3817.481299999995
SHP100141,New York,Miami,1726.0,7312.0,LTL,DHL Express,1,0.21,0,3259.69,3288.0992000000015
SHP100142,Houston,Atlanta,1884.0,10515.0,LTL,USPS,11,0.2,0,3739.64,3762.235500000003
SHP100143,Atlanta,Los Angeles,2338.0,1591.0,Truckload,UPS,1,0.22,0,5301.36,5351.952599999993
SHP100144,Los Angeles,New York,2416.0,14599.0,LTL,FedEx,12,0.36,1,5172.86,4998.7206999999935
SHP100145,Chicago,Los Angeles,2283.0,2815.0,Air Freight,UPS,7,0.23,0,8069.1,8143.866799999993
SHP100146,Houston,Los Angeles,2379.0,10356.0,Truckload,UPS,11,0.25,0,6210.34,6276.3894000000055
SHP100147,Atlanta,Houston,1909.0,4541.0,LTL,DHL Express,3,0.28,1,3731.77,3669.2898000000023
SHP100148,Houston,New York,2002.0,12949.0,Truckload,USPS,10,0.42,0,5776.81,5725.807300000001
SHP100149,Miami,Atlanta,1671.0,3133.0,LTL,DHL Express,2,0.21,0,2814.79,2837.8176000000017
SHP100150,Atlanta,New York,1974.0,5406.0,Truckload,DHL Express,9,0.15,0,4844.8,4801.237599999995
SHP100151,Atlanta,Chicago,1796.0,7470.0,Truckload,DHL Express,3,0.17,0,4125.92,4323.9025999999985
SHP100152,Los Angeles,Chicago,2215.0,819.0,LTL,UPS,2,0.42,0,3455.1,3529.430700000001
SHP100153,Atlanta,Houston,1854.0,1472.0,LTL,DHL Express,12,0.34,0,2981.22,2985.193099999998
SHP100154,Houston,Los Angeles,1935.0,8648.0,LTL,DHL Express,8,0.23,0,4179.87,3924.6822999999977
SHP100155,Atlanta,Houston,1799.0,7470.0,LTL,USPS,10,0.2,0,3043.5,3183.2589000000003
SHP100156,Los Angeles,Atlanta,2262.0,1922.0,LTL,USPS,6,0.24,0,3598.67,3637.5489000000007
SHP100157,Los Angeles,Atlanta,2275.0,7470.0,LTL,DHL Express,6,0.18,0,3890.56,3927.931799999998
SHP100158,Miami,Houston,1547.0,10936.0,Air Freight,USPS,10,0.43,1,8094.09,7998.476699999999
SHP100159,Houston,Miami,1739.0,2319.0,LTL,USPS,11,0.39,0,2825.61,2824.4817999999955
SHP100160,New York,Miami,1691.0,5325.0,LTL,DHL Express,7,0.29,0,3070.69,3034.0141000000003
SHP100161,New York,Los Angeles,2416.0,4799.0,Truckload,UPS,7,0.41,0,5656.12,5679.578199999997
SHP100162,Atlanta,Chicago,1731.0,6621.0,LTL,DHL Express,11,0.22,0,3226.57,3233.5028000000034
SHP100163,Miami,Houston,1693.0,9423.0,Air Freight,USPS,13,0.37,0,7397.31,7472.928300000008
SHP100164,Chicago,Los Angeles,2359.0,5122.0,Truckload,UPS,6,0.41,0,5702.32,5667.751199999999
SHP100165,Atlanta,Chicago,1766.0,9681.0,Truckload,FedEx,4,0.26,0,4946.17,4978.896999999997
SHP100166,Miami,Los Angeles,2117.0,11295.0,LTL,UPS,11,0.38,0,4089.21,4131.355800000003
SHP100167,Houston,Miami,1592.0,14756.0,LTL,USPS,9,0.24,0,3705.99,3651.862999999996
SHP100168,Houston,Chicago,1753.0,5513.0,LTL,UPS,6,0.24,1,3570.7,3257.2565000000004
SHP100169,Houston,Los Angeles,2321.0,11575.0,Air Freight,DHL Express,4,0.18,1,10616.09,10397.903799999991
SHP100170,Houston,Chicago,1941.0,7500.0,LTL,FedEx,12,0.28,0,3526.18,3508.8540999999955
SHP100171,Houston,Miami,1554.0,11139.0,LTL,FedEx,3,0.37,0,3339.65,3319.3983000000007
SHP100172,Miami,Atlanta,1682.0,11145.0,Air Freight,FedEx,4,0.43,0,7808.84,7775.314899999997
SHP100173,Miami,New York,1935.0,8470.0,LTL,USPS,3,0.33,0,3483.03,3554.814500000003
SHP100174,Los Angeles,Atlanta,2338.0,4009.0,LTL,USPS,2,0.41,0,4008.98,3928.382599999997
SHP100175,New York,Chicago,1966.0,14665.0,LTL,FedEx,5,0.4,1,4585.39,4495.290800000006
SHP100176,Houston,Chicago,1845.0,10135.0,Air Freight,UPS,2,0.2,0,7943.66,8047.765000000005
SHP100177,Chicago,Houston,1966.0,1363.0,LTL,FedEx,6,0.3,0,3155.01,3172.2839000000035
SHP100178,Miami,Atlanta,1711.0,7897.0,Truckload,UPS,3,0.19,0,4584.33,4541.3470000000025
SHP100179,Chicago,New York,1954.0,1120.0,Truckload,UPS,6,0.35,0,4354.69,4388.0515000000005
SHP100180,Chicago,Miami,1728.0,9216.0,LTL,USPS,11,0.43,1,3757.29,3724.3262999999984
SHP100181,Chicago,New York,1852.0,7470.0,Truckload,UPS,10,0.19,0,5106.84,4894.332600000007
SHP100182,Los Angeles,New York,2375.0,3335.0,LTL,FedEx,9,0.37,1,4289.94,4201.224300000001
SHP100183,Miami,Houston,1544.0,8999.0,LTL,USPS,1,0.34,0,3184.46,3180.3300000000013
SHP100184,Chicago,New York,1924.0,3145.0,Truckload,DHL Express,6,0.33,0,4503.09,4590.460099999997
SHP100185,Houston,Miami,1705.0,370.0,Air Freight,DHL Express,9,0.27,1,6622.01,6431.554900000002
SHP100186,Atlanta,New York,2063.0,2371.0,Truckload,USPS,11,0.26,0,4660.12,4664.317599999998
SHP100187,Chicago,New York,2041.0,605.0,Truckload,FedEx,4,0.16,1,4891.68,4929.323099999997
SHP100188,Los Angeles,Houston,2445.0,4989.0,LTL,DHL Express,11,0.22,0,4109.42,4142.656999999997
SHP100189,Miami,Houston,1534.0,5482.0,LTL,DHL Express,12,0.15,0,2803.56,2869.1421999999993
SHP100190,Los Angeles,Chicago,2363.0,1436.0,LTL,UPS,2,0.32,1,4164.55,3998.512899999996
SHP100191,Chicago,Los Angeles,2286.0,4813.0,LTL,UPS,13,0.18,0,3877.23,3865.1278
SHP100192,Miami,Los Angeles,2162.0,11289.0,LTL,FedEx,4,0.41,1,4569.16,4468.270799999996
SHP100193,Atlanta,New York,1873.0,10669.0,LTL,USPS,1,0.31,1,4163.28,4131.704800000006
SHP100194,Chicago,Los Angeles,2411.0,6904.0,LTL,FedEx,3,0.36,0,4212.48,4285.312699999996
SHP100195,Los Angeles,Houston,2244.0,14280.0,LTL,USPS,10,0.27,0,4581.52,4603.022600000002
SHP100196,New York,Los Angeles,2353.0,10246.0,Truckload,DHL Express,9,0.32,0,6137.49,6185.648699999996
SHP100197,Houston,Los Angeles,2237.0,10172.0,Air Freight,UPS,10,0.43,0,9289.46,9229.64499999999
SHP100198,Los Angeles,Chicago,2437.0,7687.0,LTL,FedEx,5,0.17,0,4320.21,4411.992700000002
SHP100199,Miami,Los Angeles,2177.0,4891.0,Air Freight,FedEx,11,0.23,0,7995.29,8180.768399999996
SHP100200,Chicago,Houston,1961.0,13012.0,Air Freight,USPS,6,0.38,0,8898.11,8866.395099999992
SHP100201,Houston,Atlanta,1745.0,10405.0,LTL,USPS,3,0.18,0,3525.66,3546.463599999997
SHP100202,Chicago,Houston,1788.0,14990.0,Truckload,FedEx,5,0.17,1,6024.83,5801.2704
SHP100203,Miami,Los Angeles,2178.0,13403.0,Truckload,USPS,11,0.26,1,6601.66,6531.088299999998
SHP100204,Chicago,New York,2092.0,3917.0,Truckload,FedEx,8,0.18,0,4818.79,4980.677999999996
SHP100205,New York,Atlanta,2031.0,10668.0,LTL,FedEx,6,0.33,0,3947.58,3936.5221000000006
SHP100206,Houston,Miami,1696.0,3843.0,Truckload,FedEx,4,0.22,1,4624.5,4539.1851
SHP100207,Houston,Chicago,1873.0,7423.0,LTL,DHL Express,2,0.42,0,3559.87,3545.889199999997
SHP100208,Miami,Chicago,1504.0,2563.0,Truckload,USPS,9,0.39,0,3595.65,3762.3884999999996
SHP100209,New York,Miami,1858.0,3853.0,Truckload,UPS,13,0.36,1,4965.13,5017.620100000002
SHP100210,Los Angeles,Houston,2435.0,2377.0,Truckload,UPS,12,0.34,0,5448.36,5587.940200000003
SHP100211,Chicago,Los Angeles,2220.0,7470.0,Truckload,USPS,1,0.41,0,5782.97,5713.02069999999
SHP100212,Atlanta,Houston,1922.0,2215.0,Truckload,FedEx,1,0.22,1,4891.72,4898.87699999999
SHP100213,Chicago,Los Angeles,2288.0,3358.0,LTL,UPS,13,0.41,1,4040.11,3958.299499999999
SHP100214,Chicago,Miami,1707.0,6502.0,LTL,UPS,4,0.39,0,3198.44,3198.5653000000007
SHP100215,Los Angeles,Chicago,2324.0,8117.0,Air Freight,USPS,7,0.37,0,9308.0,9117.359499999999
SHP100216,Chicago,New York,1917.0,7692.0,LTL,UPS,1,0.32,0,3634.85,3600.592399999997
SHP100217,New York,Atlanta,1892.0,14485.0,LTL,FedEx,9,0.22,0,4114.29,4049.015699999997
SHP100218,New York,Chicago,1918.0,6454.0,LTL,USPS,4,0.28,0,3469.79,3459.4802999999984
SHP100219,Houston,Chicago,1956.0,1042.0,LTL,FedEx,3,0.39,0,3193.13,3199.5620000000035
SHP100220,Miami,Houston,1630.0,5474.0,Air Freight,UPS,1,0.16,1,7313.83,6961.647599999994
SHP100221,Atlanta,Houston,1867.0,9619.0,Truckload,UPS,10,0.38,0,5179.96,5226.534500000002
SHP100222,Chicago,Miami,1564.0,4431.0,Air Freight,FedEx,4,0.22,0,6150.83,6201.9913
SHP100223,Chicago,New York,2059.0,14713.0,Truckload,DHL Express,9,0.19,0,6059.65,5963.799800000004
SHP100224,Los Angeles,Chicago,2435.0,3224.0,LTL,UPS,13,0.18,0,3976.05,3982.9399999999955
SHP100225,Miami,Atlanta,1592.0,14448.0,LTL,DHL Express,10,0.16,0,3587.54,3602.1993999999972
SHP100226,New York,Houston,1890.0,4832.0,Truckload,UPS,6,0.31,0,4642.51,4681.214900000004
SHP100227,Atlanta,Los Angeles,2443.0,9547.0,LTL,DHL Express,6,0.22,0,4528.11,4485.844199999995
SHP100228,Houston,Los Angeles,2387.0,5610.0,Air Freight,DHL Express,1,0.45,0,9112.9,9069.371100000011
SHP100229,New York,Miami,1824.0,7470.0,Air Freight,DHL Express,10,0.32,0,7441.68,7568.8760000000075
SHP100230,Miami,Chicago,1688.0,13075.0,LTL,FedEx,2,0.19,1,4118.04,4042.9853999999964
SHP100231,Houston,Miami,1548.0,3128.0,Air Freight,DHL Express,11,0.36,0,5834.91,5820.592799999995
SHP100232,Los Angeles,Miami,2008.0,10928.0,Air Freight,DHL Express,6,0.42,0,8784.79,8777.455100000001
SHP100233,Los Angeles,Houston,2212.0,3033.0,Truckload,DHL Express,2,0.37,1,5671.68,5634.659799999999
SHP100234,Chicago,Los Angeles,2413.0,7309.0,LTL,UPS,3,0.17,1,4575.19,4445.954700000001
SHP100235,Miami,Chicago,1496.0,6104.0,LTL,DHL Express,4,0.42,0,2826.17,3040.973000000001
SHP100236,Atlanta,Los Angeles,2258.0,14232.0,Truckload,UPS,11,0.39,0,6431.34,6432.230400000003
SHP100237,Houston,New York,1935.0,2573.0,LTL,DHL Express,5,0.2,1,3358.9,3415.176400000003
SHP100238,New York,Los Angeles,2490.0,11824.0,LTL,DHL Express,9,0.17,1,5032.46,4977.515600000004
SHP100239,Miami,Houston,1590.0,7470.0,Truckload,FedEx,12,0.32,0,4543.75,4418.190200000001
SHP100240,Miami,Chicago,1665.0,10342.0,LTL,UPS,4,0.2,0,3399.46,3405.534700000002
SHP100241,Los Angeles,New York,2408.0,4631.0,Truckload,DHL Express,13,0.4,0,5568.46,5576.258600000006
SHP100242,Chicago,Houston,1731.0,7470.0,Air Freight,UPS,11,0.26,0,8021.46,7658.3506999999945
SHP100243,Chicago,Atlanta,1962.0,5659.0,Air Freight,UPS,9,0.42,0,7675.22,7701.564199999985
SHP100244,Houston,Chicago,1856.0,2051.0,LTL,USPS,11,0.32,0,3078.68,3002.4727000000003
